target_ret_daily,ret_daily,vol_daily
0.00016069726062482902,0.00043691569115679,0.005811105859475678
0.00018930493366893915,0.00043691569115679,0.005811105859475678
0.0002179126067130493,0.00043691569115679,0.005811105859475678
0.00024652027975715946,0.00043691569115679,0.005811105859475678
0.0002751279528012696,0.00043691569115679,0.005811105859475678
0.0003037356258453797,0.00043691569115679,0.005811105859475678
0.0003323432988894899,0.00043691569115679,0.005811105859475678
0.00036095097193360003,0.00043691569115679,0.005811105859475678
0.00038955864497771016,0.00043691569115679,0.005811105859475678
0.0004181663180218203,0.00043691569115679,0.005811105859475678
0.0004467739910659304,0.000446773991066101,0.00581205057110925
0.0004753816641100406,0.00047538166411007735,0.005824711857806675
0.0005039893371541508,0.0005039893371526115,0.005852168957168671
0.0005325970101982609,0.0005325970101979727,0.005894214848379474
0.000561204683242371,0.0005612046832420517,0.0059503885169820995
0.0005898123562864811,0.0005898123562870022,0.006021026386605815
0.0006184200293305913,0.0006184200293296848,0.00610317587764081
0.0006470277023747015,0.0006470277023749786,0.006199631804104606
0.0006756353754188115,0.0006756353754191775,0.006307377486003292
0.0007042430484629217,0.0007042430484628206,0.006434488809072437
0.0007328507215070318,0.0007328507215068874,0.006573781256673667
0.000761458394551142,0.0007614583944379298,0.006726488485811184
0.0007900660675952522,0.0007900660675812152,0.006891696930742384
0.0008186737406393622,0.0008186737406427519,0.0070685425405707155
0.0008472814136834724,0.0008472814136834737,0.007256181565901538
0.0008758890867275826,0.0008758890867314734,0.007453786271002794
0.0009044967597716927,0.0009044967597714303,0.0076605911946702665
0.0009331044328158029,0.0009331044326722647,0.007875869927657392
0.000961712105859913,0.0009617121058595469,0.008098945919046713
0.0009903197789040232,0.000990319778903467,0.008329202853117876
0.0010189274519481332,0.0010189274519478559,0.00856607102913623
0.0010475351249922434,0.0010475351249916395,0.00880896229760204
0.0010761427980363536,0.0010761427980364696,0.009057426887722195
0.0011047504710804637,0.0011047504710802322,0.009311047919694249
0.001133358144124574,0.0011333581441277962,0.009572455362513355
0.001161965817168684,0.001161965817168034,0.00986451084785526
0.001190573490212794,0.0011905734902155824,0.010191632992401951
0.0012191811632569043,0.0012191811632572063,0.010545399925548789
0.0012477888363010144,0.0012477888364115946,0.010921413093727923
0.0012763965093451246,0.0012763965088690488,0.011317186980692954
0.0013050041823892346,0.0013050041822978134,0.011734121517169026
0.0013336118554333448,0.0013336118554819708,0.012183413920834324
0.001362219528477455,0.0013622195284774552,0.01274956211900083
0.0013908272015215651,0.0013908272015215645,0.013434603447252192
0.0014194348745656753,0.0014194348745641485,0.01422136707283622
