strategy_type,window,rebalance_freq,risk_cap_annual,val_sharpe,val_ES95,val_MDD,gate_passed,score
no_short,504,ME,0.1,1.334371440420742,0.01354831439133326,-0.09019558519439708,True,1.334371440420742
no_short,504,ME,0.12,1.2420985077224944,0.01437754796521751,-0.06131682212090672,True,1.2420985077224944
no_short,504,QE,0.12,1.1545974431305543,0.014916465474752923,-0.06508174785036613,True,1.1545974431305543
no_short,252,QE,0.1,1.032674930791103,0.01668910529248337,-0.0971036704270214,True,1.032674930791103
no_short,252,QE,0.12,1.0145353521697265,0.016944034299060474,-0.09715043219414887,True,1.0145353521697265
no_short,504,QE,0.1,0.9139164059622599,0.0140805763262359,-0.09019558519439685,True,0.9139164059622599
no_short,252,ME,0.12,0.8378161132852232,0.018558757845879088,-0.15032443012036933,True,0.8378161132852232
no_short,252,ME,0.1,0.631951499329897,0.01759463079214294,-0.14015434310728503,True,0.631951499329897
no_short,126,ME,0.1,0.4782968989857318,0.01822663134233556,-0.13616509724894166,True,0.4782968989857318
no_short,126,ME,0.15,0.4698148409916541,0.022551532492354833,-0.15448231986677197,True,0.4698148409916541
no_short,126,QE,0.1,0.2563204355292317,0.019197334688167124,-0.15240447804581536,True,0.2563204355292317
no_short,126,ME,0.12,0.19216716883548154,0.01894054608990061,-0.15865618043564378,True,0.19216716883548154
no_short,126,QE,0.12,0.1744935990057191,0.01961021816603253,-0.1849689979573057,True,0.1744935990057191
no_short,504,ME,0.15,0.9787471853031426,0.0186355284771515,-0.09652756655660899,False,-0.02125281469685736
no_short,504,ME,0.18,0.746959129303028,0.022012971586380405,-0.1225757712175598,False,-0.253040870696972
no_short,504,QE,0.15,0.7326941529526381,0.019991829358077504,-0.10053446591403703,False,-0.26730584704736193
no_short,252,QE,0.15,0.6938697280741346,0.02040253006657565,-0.12938206842100142,False,-0.3061302719258654
no_short,252,ME,0.15,0.6288222135365275,0.022112211196476172,-0.16419752778332064,False,-0.37117778646347255
no_short,252,QE,0.18,0.6038756900495127,0.02551049910341016,-0.1697238617237612,False,-0.3961243099504873
no_short,252,ME,0.18,0.5991633469814873,0.02600520835155644,-0.17695075615732048,False,-0.4008366530185127
no_short,504,QE,0.18,0.4826072305747714,0.023831434134215203,-0.1263833335123462,False,-0.5173927694252286
no_short,126,ME,0.18,0.3091564589860796,0.025682285861662612,-0.17381380631634769,False,-0.6908435410139204
no_short,126,QE,0.15,-0.03556213470632922,0.024062671584046697,-0.18920640464382554,False,-1.0355621347063293
no_short,126,QE,0.18,-0.03789223010417349,0.028298891891620978,-0.20421729329187832,False,-1.0378922301041735
short_allowed,504,ME,0.1,1.6832099383450618,0.012966985193540805,-0.09019558519439708,True,1.6832099383450618
short_allowed,504,ME,0.12,1.5413546113731385,0.013441567632478668,-0.06081761650425921,True,1.5413546113731385
short_allowed,504,QE,0.12,1.4964048324279338,0.01414544631418471,-0.05845323193621055,True,1.4964048324279338
short_allowed,504,QE,0.1,1.3984231452055707,0.013069869225806245,-0.09019558519439685,True,1.3984231452055707
short_allowed,252,QE,0.1,1.0786602238045593,0.01665354730866671,-0.0930906242872922,True,1.0786602238045593
short_allowed,252,QE,0.12,0.7463373612293017,0.017470566572451652,-0.10489691099420462,True,0.7463373612293017
short_allowed,126,ME,0.1,0.7033538214768875,0.018094467175927904,-0.13616509724894177,True,0.7033538214768875
short_allowed,252,ME,0.1,0.6853095741143154,0.017448955767498567,-0.14167605760353996,True,0.6853095741143154
short_allowed,252,ME,0.12,0.678488330024017,0.018543650175149858,-0.15444193561953656,True,0.678488330024017
short_allowed,504,ME,0.15,1.5351132829344336,0.017230113079432764,-0.10256035282622378,False,0.5351132829344336
short_allowed,126,QE,0.1,0.49831830425589074,0.018569734887708706,-0.13616509724894177,True,0.49831830425589074
short_allowed,504,ME,0.18,1.4551292070889266,0.021656315292903537,-0.13926350779869412,False,0.45512920708892657
short_allowed,504,QE,0.15,1.4026564653277973,0.018883109633180066,-0.09847940804875477,False,0.4026564653277973
short_allowed,126,ME,0.12,0.3319893597989066,0.01958544116376776,-0.18677819308858334,True,0.3319893597989066
short_allowed,504,QE,0.18,1.2854756008436017,0.023761518495416446,-0.1339090683819797,False,0.2854756008436017
short_allowed,126,QE,0.12,0.040544938333444976,0.019579601740011693,-0.1511799766906491,True,0.040544938333444976
short_allowed,252,ME,0.15,0.6406339554413868,0.024006976476754423,-0.1621467147743395,False,-0.3593660445586132
short_allowed,252,ME,0.18,0.6098557498906577,0.02845681751328567,-0.17509297451856554,False,-0.3901442501093423
short_allowed,252,QE,0.15,0.5466172433733636,0.022880796125473925,-0.16012806882531505,False,-0.4533827566266364
short_allowed,252,QE,0.18,0.48807462290762915,0.027218223134486283,-0.19387597041842664,False,-0.5119253770923708
short_allowed,126,ME,0.15,0.47953012099854586,0.023251757400940494,-0.14945131736518857,False,-0.5204698790014541
short_allowed,126,ME,0.18,0.3405249915945042,0.027427454135651504,-0.19363995350956975,False,-0.6594750084054958
short_allowed,126,QE,0.15,-0.09139690512794764,0.025760365854354195,-0.1870577635585552,False,-1.0913969051279477
short_allowed,126,QE,0.18,-0.167871515635729,0.031112624738666963,-0.23004299817397555,False,-1.167871515635729
